노트 인덱스,음악 포지션,공격,스킬1,스킬2
0,1084337349,0,0,0
1,2168674698,0,0,0
2,3253012047,0,0,0
3,4337349396,0,0,0
4,5421686745,0,0,0
5,6506024094,1,0,0
6,7590361443,0,0,0
7,8674698792,0,0,0
8,9759036141,0,0,0
9,10843373490,0,0,0
10,11927710839,0,0,0
11,13012048188,0,0,0
12,14096385537,0,1,0
13,15180722886,0,0,0
14,16265060235,0,0,0
15,17349397584,1,0,0
16,18433734933,0,0,0
17,19518072282,0,0,0
18,20602409631,0,0,0
19,21686746980,0,0,0
20,22771084329,0,0,0
21,23855421678,0,0,0
22,24939759027,0,0,0
23,26024096376,0,0,0
24,27108433725,0,0,1
25,28192771074,0,0,0
26,29277108423,1,0,0
27,30361445772,0,0,0
28,31445783121,0,0,0
29,32530120470,0,0,0
30,33614457819,0,0,0
31,34698795168,1,0,0
32,35783132517,0,0,0
33,36867469866,0,0,0
34,37951807215,0,0,0
35,39036144564,0,0,0
36,40120481913,0,1,0
37,41204819262,0,0,0
38,42289156611,0,0,0
39,43373493960,1,0,0
40,44457831309,0,0,0
41,45542168658,0,0,0
42,46626506007,0,0,0
43,47710843356,0,0,0
44,48795180705,0,0,1
45,49879518054,0,0,0
46,50963855403,1,0,0
47,52048192752,0,0,0
48,53132530101,0,0,0
49,54216867450,0,0,0
50,55301204799,0,0,0
51,56385542148,1,0,0
52,57469879497,0,0,0
53,58554216846,0,0,0
54,59638554195,0,0,0
55,60722891544,0,0,1
56,61807228893,0,0,0
57,62891566242,1,0,0
58,63975903591,0,0,0
59,65060240940,0,0,0
60,66144578289,0,0,0
61,67228915638,0,0,0
62,68313252987,1,0,0
63,69397590336,0,0,0
64,70481927685,0,0,0
65,71566265034,0,0,0
66,72650602383,0,1,0
67,73734939732,0,0,0
68,74819277081,0,0,0
69,75903614430,0,0,0
70,76987951779,0,0,0
71,78072289128,0,0,0
72,79156626477,0,0,0
73,80240963826,0,0,0
74,81325301175,0,0,1
75,82409638524,0,0,0
76,83493975873,0,0,0
77,84578313222,1,0,0
78,85662650571,0,0,0
79,86746987920,0,0,0
